Rent,leasing_rate,size,stories,age,renovated,class_a,class_b,amenities,net,cluster_rent,Precipitation,cooling_costs,heating_costs,green_rating
38.56,91.39,260300,14,16,0,1,0,1,0,36.78,42.57,1.44652,0.007946,1
28.57,87.14,67861,5,27,0,0,1,1,0,36.78,42.57,1.448742104,0.007964265,0
33.31,88.94,164848,13,36,1,0,1,1,0,36.78,42.57,1.448742104,0.007964265,0
35,97.04,93372,13,46,1,0,1,0,0,36.78,42.57,1.448742104,0.007964265,0
40.69,96.58,174307,16,5,0,1,0,1,0,36.78,42.57,1.448742104,0.007964265,0
43.16,92.74,231633,14,20,0,1,0,1,0,36.78,42.57,1.448742104,0.007964265,0
12.5,94.33,210038,11,38,0,0,1,1,0,17.5,25.55,0.793594,0.16867,1
14.77,91.02,225895,15,24,0,1,0,1,0,17.5,25.55,0.792734475,0.168978282,0
17,99.32,912011,31,34,0,1,0,1,0,17.5,25.55,0.792734475,0.168978282,0
17,93.54,518578,21,36,1,1,0,1,0,17.5,25.55,0.792734475,0.168978282,0
17,83.61,241294,11,32,0,1,0,1,0,17.5,25.55,0.792734475,0.168978282,0
18,95.69,255305,15,25,0,1,0,1,0,17.5,25.55,0.792734475,0.168978282,0
18,100,254920,15,26,0,1,0,1,0,17.5,25.55,0.792734475,0.168978282,0
19,95.62,745956,31,28,0,1,0,1,0,17.5,25.55,0.792734475,0.168978282,0
19,67.48,746824,31,29,0,1,0,1,0,17.5,25.55,0.792734475,0.168978282,0
19.5,85.41,85000,7,40,1,0,1,0,0,17.5,25.55,0.792734475,0.168978282,0
30.5,97.06,409889,20,6,0,1,0,0,0,25.5,10.46,1.2314,0.11472,1
12.51,63.87,28000,3,56,0,0,0,0,0,25.5,10.46,1.23167641,0.11428588,0
15.2,79.65,69142,8,56,0,0,0,0,0,25.5,10.46,1.23167641,0.11428588,0
20,95.59,204278,12,46,1,0,1,0,0,25.5,10.46,1.23167641,0.11428588,0
22.9,86.95,127313,8,77,1,0,1,1,0,25.5,10.46,1.23167641,0.11428588,0
25.5,100,723922,40,34,0,1,0,0,0,25.5,10.46,1.23167641,0.11428588,0
25.5,41.66,244651,18,43,1,0,1,1,0,25.5,10.46,1.23167641,0.11428588,0
25.73,86.08,371727,31,31,0,0,1,1,0,25.5,10.46,1.23167641,0.11428588,0
29.62,92.04,491623,26,20,0,1,0,1,0,25.5,10.46,1.23167641,0.11428588,0
31.25,98.31,470464,28,19,0,1,0,1,0,25.5,10.46,1.23167641,0.11428588,0
33,97.36,567163,24,7,0,1,0,1,0,25.5,10.46,1.23167641,0.11428588,0
33,96.75,137000,11,76,0,0,0,0,0,25.5,10.46,1.23167641,0.11428588,0
25,71.1,525422,16,23,0,1,0,1,0,22,41.32,0.259329,0.648108,1
17.5,100,184549,6,5,0,1,0,0,0,22,41.32,0.259330302,0.6463071,0
21,89.26,76087,3,21,0,1,0,0,0,22,41.32,0.259330302,0.6463071,0
22,85.19,101711,4,17,0,1,0,0,0,22,41.32,0.259330302,0.6463071,0
27,73.64,487027,27,16,0,1,0,1,0,22,41.32,0.259330302,0.6463071,0
26.61,95.54,378538,17,22,0,1,0,1,0,25.055,40.7,0.519601,0.328716,1
23.5,79.79,386596,17,20,0,1,0,1,0,25.055,40.7,0.519369585,0.328965252,0
24.5,99.46,841498,40,2,0,1,0,1,0,23.275,41.32,0.259329,0.648108,1
14.75,83.33,136800,13,84,0,0,0,1,0,23.275,41.32,0.259330302,0.6463071,0
15,93.08,39761,13,83,1,0,0,0,0,23.275,41.32,0.259330302,0.6463071,0
16.23,94.36,625696,23,97,1,0,1,1,0,23.275,41.32,0.259330302,0.6463071,0
16.29,93.77,1601744,48,34,1,1,0,1,0,23.275,41.32,0.259330302,0.6463071,0
16.78,79.31,733633,37,21,0,1,0,1,0,23.275,41.32,0.259330302,0.6463071,0
17.37,72.44,803046,40,26,1,1,0,1,0,23.275,41.32,0.259330302,0.6463071,0
18.06,86.28,401000,19,93,1,0,0,0,0,23.275,41.32,0.259330302,0.6463071,0
19,91.35,78100,22,94,1,0,1,0,0,23.275,41.32,0.259330302,0.6463071,0
19,95.46,173612,14,104,1,0,0,1,0,23.275,41.32,0.259330302,0.6463071,0
19,87.9,111323,14,78,1,0,0,1,0,23.275,41.32,0.259330302,0.6463071,0
