x,y
5.18,0.459
8.291,5.093
3.136,-0.632
3.593,-2.096
8.128,4.89
2.614,3.559
2.871,3.48
3.705,5.029
8.058,5.543
9.18,5.138
9.079,8.748
6.313,5.525
1.407,0.239
1.129,6.145
1.276,0.37
5.168,8.747
0.906,0.779
7.37,8.066
5.459,3.76
7.333,6.756
0.35,4.12
5.99,5.004
1.159,6.882
0.251,2.522
5.554,3.088
3.69,5.156
1.389,4.817
1.909,1.699
0.329,2.33
0.592,2.138
6.552,5.223
9.951,10.863
6.406,8.13
2.238,5.403
4.655,6.373
2.308,2.564
2.382,2.745
3.352,2.607
4.924,5.461
4.614,2.884
6.337,5.399
0.82,3.878
2.54,1.929
2.266,3.712
3.741,4.02
2.763,4.595
7.173,3.855
7.442,7.758
7.262,4.873
4.249,5.515
6.248,6.811
9.735,7.724
6.556,5.643
7.843,9.885
6.139,2.996
5.549,1.004
1.279,4.404
5.9,5.161
4.808,3.577
0.777,3.888
7.122,5.507
7.865,10.398
4.386,2.9
9.482,7.863
7.011,5.302
9.859,5.568
5.136,5.574
3.207,5.366
0.779,0.1
6.913,10.958
3.306,4.983
4.683,6.642
1.77,2.13
7.864,8.126
7.291,5.192
7.642,9.661
6.676,8.221
8.899,9.731
8.342,6.529
1.683,-0.595
0.944,1.096
0.356,1.68
0.82,2.51
4.799,4.303
3.18,2.938
3.328,3.218
8.489,5.587
1.408,4.657
7.646,6.452
6.741,10.113
4.744,6.943
5.19,3.041
0.313,0.897
9.375,5.287
2.73,1.603
2.174,2.343
7.094,6.361
0.253,0.345
9.118,9.062
3.103,1.107
5.561,5.71
7.763,6.581
9.306,10.287
4.437,4.652
7.373,6.587
1.965,3.895
9.179,5.533
5.555,4.377
7.76,7.017
3.135,2.679
1.671,0.954
5.472,3.502
5.881,6.728
7.688,3.446
9.664,8.887
8.123,6.947
4.419,4.385
9.056,6.276
5.12,5.137
0.007,1.267
8.689,6.732
2.816,3.9
2.465,6.222
9.151,7.694
4.563,2.869
1.733,0.582
7.512,6.249
9.745,9.668
5.338,6.21
3.473,3.847
9.525,7.012
0.364,4.372
1.294,2.918
6.922,9.248
1.48,0.971
5.974,8.333
2.609,3.436
6.629,5.327
6.248,2.235
5.419,5.595
5.687,6.632
5.843,6.346
8.017,7.366
1.482,2.899
4.904,6.483
0.227,4.973
6.811,6.85
2.821,3.109
0.811,2.316
3.551,5.262
2.515,5.062
0.951,0.653
0.738,4.395
6.977,8.218
4.053,5.79
8.915,8.092
8.929,5.891
9.143,10.679
6.573,4.651
9.699,9.997
1.593,2.602
7.399,5.011
6.429,5.335
3.998,3.364
8.896,8.436
5.434,5.9
1.62,1.958
5.833,6.156
4.208,3.95
3.614,5.493
7.686,5.328
1.478,0.294
4.64,5.65
1.628,2.347
6.509,9.386
1.139,2.484
4.743,6.359
8.658,10.869
2.126,4.215
2.147,5.926
0.78,2.873
8.658,5.692
8.345,8.471
0.236,3.784
7.077,7.947
0.954,3.084
5.059,2.144
7.859,10.135
4.322,5.58
0.839,4.271
0.468,3.188
1.543,3.483
2.347,4.712
2.097,0.679
4.321,6.056
0.446,1.49
3.385,3.951
0.186,3.879
1.58,1.151
4.999,7.256
8.568,9.826
5.826,4.264
0.774,-0.694
7.914,6.311
5.085,4.319
9.92,3.253
7.525,8.332
4.697,9.22
1.951,2.13
4.263,6.521
7.015,10.434
5.416,3.384
8.5,8.388
1.633,3.525
4.297,6.768
6.391,7.045
3.722,2.763
1.512,3.985
9.32,7.395
1.132,0.807
8.171,7.271
8.328,7.217
0.571,2.706
9.632,7.794
3.951,4.152
3.516,6.235
4.116,4.649
2.129,3.908
6.724,2.208
3.631,3.616
3.775,4.113
4.899,1.72
9.038,8.711
3.865,3.379
2.745,4.798
0.964,4.412
1.3,-0.985
7.025,7.859
4.314,7.183
3.176,2.355
1.281,-0.044
8.944,7.906
2.255,2.183
5.932,3.003
3.681,5.236
2.837,2.395
0.015,1.522
4.025,1.95
0.762,3.957
2.546,1.623
6.212,5.008
5.115,6.328
7.655,10.544
7.484,7.053
4.282,4.431
0.476,0.335
5.141,5.686
7.137,6.944
0.954,6.639
1.821,3.597
4.952,7.112
9.125,9.019
9.348,3.671
2.103,0.113
5.737,4.215
7.626,8.226
2.744,1.569
5.168,9.124
5.361,5.084
6.384,0.464
5.587,6.322
4.931,5.234
6.545,4.654
7.057,5.119
2.818,1.611
4.891,5.276
2.257,2.483
9.214,8.738
7.009,1.682
0.711,0.509
7.324,13.056
6.841,3.427
0.718,4.38
7.821,7.949
7.695,2.269
0.595,6.035
8.486,10.083
6.66,5.674
2.594,5.129
0.441,0.04
8.438,11.197
4.63,7.451
3.018,3.94
6.016,7.178
4.037,6.335
4.01,0.256
0.268,-0.045
5.345,6.519
2.378,0.156
9.956,12.781
0.312,3.968
1.142,-0.528
8.902,7.095
0.66,3.053
8.532,6.906
8.229,6.396
5.006,4.556
1.394,1.901
9.823,8.622
3.61,2.854
8.754,5.339
4.435,6.201
7.087,3.108
8.647,10.242
5.954,6.793
1.253,-1.727
7.946,7.837
3.404,3.653
2.583,5.191
5.725,7.563
9.349,7.402
7.311,9.636
2.331,2.774
0.632,3.655
9.238,4.39
7.831,7.633
2.799,6.624
3.992,3.098
9.545,6.553
7.516,7.313
6.952,5.593
9.1,4.754
7.411,11.406
4.441,1.746
6.799,6.938
6.528,7.474
3.074,2.032
9.322,5.53
9.404,9.406
9.275,3.397
1.061,1.278
3.105,5.228
5.235,6.817
5.29,9.431
3.743,3.061
7.614,4.895
9.666,12.743
9.24,6.475
4.155,6.094
1.409,4.959
3.391,2.247
5.894,7.132
5.247,4.329
7.049,4.688
4.178,3.692
8.673,7.357
1.042,-0.898
4.993,5.972
3.124,2.366
5.802,4.737
7.745,6.057
4.52,3.654
1.06,5.646
0.939,0.778
7.436,5.776
0.055,1.435
5.334,7.391
1.644,0.445
4.216,3.213
9.362,10.342
5.941,6.756
0.13,1.79
2.889,4.223
7.891,7.217
1.403,2.863
7.676,6.858
0.82,1.736
2.061,2.272
3.096,4.116
0.671,4.65
4.573,4.305
8.427,9.213
3.982,4.994
9.151,9.422
5.264,5.608
4.3,6.699
8.862,6.617
9.829,7.269
6.568,5.545
9.216,6.835
9.119,6.013
8.005,8.845
3.331,3.24
4.122,6.483
5.438,4.327
8.398,11.077
1.348,0.869
8.775,10.362
2.202,2.297
3.583,3.013
3.771,7.459
7.803,7.287
1.677,-0.275
1.355,6.054
9.114,8.401
7.37,4.869
7.173,6.704
4.558,3.694
3.135,7.101
7.715,8.349
9.203,5.481
6.55,4.16
0.396,3.202
1.79,3.923
0.245,-0.913
5.271,5.272
1.625,4.226
4.778,4.029
9.318,6.047
6.049,8.146
3.479,4.436
4.109,6.769
0.767,0.106
2.586,4.441
9.51,7.053
6.378,10.044
9.227,10.174
