year,quarter,gas,pop,gdp
1960,1,160.1,52245758,6.7
1960,2,129.7,52298644,6.8
1960,3,84.8,52372000,6.8
1960,4,120.1,52462669,6.9
1961,1,160.1,52567497,6.9
1961,2,124.9,52683325,6.9
1961,3,84.8,52807000,7.2
1961,4,116.9,52934971,7.1
1962,1,169.7,53062130,7.1
1962,2,140.9,53182974,7.3
1962,3,89.7,53292000,7.3
1962,4,123.3,53385661,7.4
1963,1,187.3,53468229,7.3
1963,2,144.1,53545933,7.3
1963,3,92.9,53625000,7.4
1963,4,120.1,53710274,7.4
1964,1,176.1,53801075,7.4
1964,2,147.3,53895338,7.5
1964,3,89.7,53991000,7.6
1964,4,123.3,54086053,7.7
1965,1,185.7,54178719,7.8
1965,2,155.3,54267276,7.9
1965,3,99.3,54350000,8
1965,4,131.3,54426026,8.1
1966,1,200.1,54497920,8.1
1966,2,161.7,54569103,8.2
1966,3,102.5,54643000,8.3
1966,4,136.1,54721856,8.5
1967,1,204.9,54803224,8.5
1967,2,176.1,54883479,8.6
1967,3,112.1,54959000,8.6
1967,4,140.9,55027297,8.7
1968,1,227.3,55090433,8.7
1968,2,195.3,55151601,8.8
1968,3,115.3,55214000,8.9
1968,4,142.5,55279592,9.1
1969,1,244.9,55345417,9.2
1969,2,214.5,55407284,9.2
1969,3,118.5,55461000,9.4
1969,4,153.7,55504270,9.5
1970,1,244.9,55542395,9.7
1970,2,216.1,55582572,9.9
1970,3,188.9,55632000,10.1
1970,4,142.5,55695389,10.4
1971,1,301,55767501,10.7
1971,2,196.9,55840613,10.9
1971,3,136.1,55907000,11.1
1971,4,267.3,55960939,11.4
1972,1,317,56004722,11.6
1972,2,230.5,56042644,11.8
1972,3,152.1,56079000,12
1972,4,336.2,56116760,12.5
1973,1,371.4,56153607,12.7
1973,2,240.1,56185900,12.5
1973,3,158.5,56210000,13
1973,4,355.4,56223395,13.5
1974,1,449.9,56228098,13.8
1974,2,286.6,56227252,14.4
1974,3,179.3,56224000,15.3
1974,4,403.4,56220940,16.3
1975,1,491.5,56218498,17.6
1975,2,321.8,56216558,18.7
1975,3,177.7,56215000,19.5
1975,4,409.8,56213640,20.3
1976,1,593.9,56212030,20.8
1976,2,329.8,56209655,21.6
1976,3,176.1,56206000,22
1976,4,483.5,56200716,22.8
1977,1,584.3,56194127,23.4
1977,2,395.4,56186725,24.5
1977,3,187.3,56179000,25
1977,4,485.1,56171634,25.8
1978,1,669.2,56166083,26.8
1978,2,421,56163989,27.6
1978,3,216.1,56167000,28
1978,4,509.1,56176212,28.8
1979,1,827.7,56190539,30
1979,2,467.5,56208347,30.7
1979,3,209.7,56228000,32.5
1979,4,542.7,56248201,33.8
1980,1,840.5,56269007,35.3
1980,2,414.6,56290809,36.9
1980,3,217.7,56314000,38.2
1980,4,670.8,56338255,39.9
1981,1,848.5,56360380,41
1981,2,437,56376465,41.3
1981,3,209.7,56382597,41.9
1981,4,701.2,56376589,42.9
1982,1,925.3,56363149,43.6
1982,2,443.4,56348710,43.8
1982,3,214.5,56339704,44.4
1982,4,683.6,56340936,45.6
1983,1,917.3,56350714,46.3
1983,2,515.5,56365716,46.3
1983,3,224.1,56382623,47.2
1983,4,694.8,56399040,47.9
1984,1,989.4,56416285,47.5
1984,2,477.1,56436600,49
1984,3,233.7,56462228,49.3
1984,4,730,56494747,50.1
1985,1,1087,56533083,50.4
1985,2,534.7,56575494,51.6
1985,3,281.8,56620240,52
1985,4,787.6,56665712,52.6
1986,1,1163.9,56710836,52.9
1986,2,613.1,56754666,52.8
1986,3,347.4,56796260,53.1
1986,4,782.8,56834672,53.9
1987,,,56888355,54.7
1987,,,56935058,55.7
1987,,,56981620,56.6
1987,,,57027634,57
